IPAddress,Parameter,Periodicity,RFValue,Thresholdvalue,ClientName
192.168.224.3,InterfaceInErrorsRate(GigabitEthernet0/6),180,3,10,ATMSL
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/1),60,3,90,ATMSL
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/11),60,3,90,ATMSL
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/18),60,3,80,ATMSL
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/2),60,3,90,ATMSL
192.168.224.3,InterfaceCRCErrors(GigabitEthernet0/10),120,3,100,ATMSL
192.168.224.3,InterfaceCRCErrors(GigabitEthernet0/12),120,3,100,ATMSL
192.168.224.3,InterfaceCRCErrors(GigabitEthernet0/17),120,3,100,ATMSL
192.168.224.3,InterfaceCRCErrors(GigabitEthernet0/19),120,3,100,ATMSL
192.168.224.3,InterfaceCRCErrors(GigabitEthernet0/3),120,3,100,ATMSL
192.168.224.3,InterfaceCRCErrors(GigabitEthernet0/5),120,3,100,ATMSL
192.168.224.3,InterfaceInDiscardsRate(GigabitEthernet0/10),180,3,10,ATMSL
192.168.224.3,InterfaceInDiscardsRate(GigabitEthernet0/12),180,3,10,ATMSL
192.168.224.3,InterfaceInDiscardsRate(GigabitEthernet0/17),180,3,10,ATMSL
192.168.224.3,InterfaceInDiscardsRate(GigabitEthernet0/19),180,3,10,ATMSL
192.168.224.3,InterfaceInDiscardsRate(GigabitEthernet0/3),180,3,10,ATMSL
192.168.224.3,InterfaceInDiscardsRate(GigabitEthernet0/5),180,3,10,ATMSL
192.168.224.3,InterfaceInErrorsRate(GigabitEthernet0/10),180,3,10,ATMSL
192.168.224.3,InterfaceInErrorsRate(GigabitEthernet0/12),180,3,10,ATMSL
192.168.224.3,InterfaceInErrorsRate(GigabitEthernet0/17),180,3,10,ATMSL
192.168.224.3,InterfaceInErrorsRate(GigabitEthernet0/19),180,3,10,ATMSL
192.168.224.3,InterfaceInErrorsRate(GigabitEthernet0/3),180,3,10,ATMSL
192.168.224.3,InterfaceInErrorsRate(GigabitEthernet0/5),180,3,10,ATMSL
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/10),60,3,90,ATMSL
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/12),60,3,80,ATMSL
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/17),60,3,80,ATMSL
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/19),60,3,90,ATMSL
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/3),60,3,90,ATMSL
192.168.224.3,InterfaceInUtilization(GigabitEthernet0/5),60,3,90,ATMSL
192.168.224.3,InterfaceOperStatus(GigabitEthernet0/10),60,3,DOWN,ATMSL
192.168.224.3,InterfaceOperStatus(GigabitEthernet0/12),60,3,DOWN,ATMSL
192.168.224.3,InterfaceOperStatus(GigabitEthernet0/17),60,3,DOWN,ATMSL
192.168.224.3,InterfaceOperStatus(GigabitEthernet0/19),60,3,DOWN,ATMSL
192.168.224.3,InterfaceOperStatus(GigabitEthernet0/20),60,3,DOWN,ATMSL
